bpi_rank,Team_Name,Conference,W-L,bpi_off,bpi_def,bpi_rating,seven_day_rank_change
304,American,Patriot,8-22,-6.1,-1.9,-8.0,--
305,Marist,MAAC,8-24,-2.2,-5.8,-8.0,--
306,Prairie View A&M,SWAC,13-20,-5.1,-3.0,-8.2,--
307,Northwestern State,Southland,13-16,-3.0,-5.4,-8.4,--
308,Stetson,A-Sun,11-21,-2.2,-6.2,-8.5,1
309,Hampton,MEAC,14-16,-7.5,-1.1,-8.6,1
310,Pepperdine,WCC,9-22,-2.8,-5.8,-8.6,1
311,Cal Poly,Big West,11-20,-3.1,-5.7,-8.8,1
312,North Texas,C-USA,8-22,-5.9,-3.1,-9.0,1
313,Southern,SWAC,15-18,-4.5,-4.6,-9.0,5
314,Abilene Christian,Southland,13-16,-5.4,-3.7,-9.1,1
315,Jackson State,SWAC,14-18,-7.4,-1.9,-9.4,1
316,UT Rio Grande Valley,WAC,10-22,-3.9,-5.6,-9.5,2
317,UC Santa Barbara,Big West,6-22,-6.8,-2.7,-9.5,--
318,Maryland-Eastern Shore,MEAC,14-20,-4.3,-5.2,-9.5,4
319,Central Arkansas,Southland,8-24,-1.8,-7.8,-9.7,--
320,Incarnate Word,Southland,12-17,-3.0,-6.7,-9.7,1
321,Nicholls,Southland,14-17,-4.9,-4.8,-9.8,1
322,Grambling,SWAC,16-17,-6.1,-4.0,-10.1,3
323,VMI,Southern,6-24,-5.0,-5.3,-10.3,3
324,SIU Edwardsville,Ohio Valley W,6-24,-7.4,-2.9,-10.3,--
325,Morgan State,MEAC,14-16,-8.7,-1.6,-10.3,2
326,Southern Utah,Big Sky,6-27,-1.9,-8.4,-10.4,4
327,Savannah State,MEAC,13-16,-4.0,-6.5,-10.5,--
328,Southern Miss,C-USA,9-22,-8.4,-2.4,-10.9,1
329,Northern Arizona,Big Sky,9-23,-5.8,-5.1,-10.9,1
330,Idaho State,Big Sky,5-26,-4.3,-6.6,-10.9,--
331,Lafayette,Patriot,9-21,-5.3,-5.7,-10.9,--
332,Hartford,Am. East,9-23,-7.5,-3.5,-11.0,--
333,Maine,Am. East,7-25,-7.7,-3.5,-11.2,--
334,Western Carolina,Southern,9-23,-10.6,-0.7,-11.3,--
335,Alabama State,SWAC,8-23,-7.7,-4.2,-11.9,--
336,McNeese,Southland,7-22,-6.3,-5.6,-12.0,--
337,Delaware State,MEAC,10-22,-6.3,-5.8,-12.1,--
338,Howard,MEAC,10-24,-9.4,-3.3,-12.7,--
339,Central Connecticut,NEC,6-23,-7.8,-5.5,-13.3,--
340,Mississippi Valley State,SWAC,7-25,-5.9,-7.7,-13.6,1
341,Bethune-Cookman,MEAC,10-22,-6.8,-7.0,-13.7,1
342,South Carolina State,MEAC,11-20,-4.7,-9.2,-14.0,--
343,Chicago State,WAC,6-26,-8.4,-5.9,-14.3,--
344,St Francis (BKN),NEC,4-27,-11.0,-3.4,-14.4,--
345,Longwood,Big South,6-24,-7.1,-7.8,-14.8,--
346,Florida A&M,MEAC,7-23,-8.7,-6.1,-14.8,--
347,Arkansas-Pine Bluff,SWAC,7-25,-12.6,-2.8,-15.4,--
348,Coppin State,MEAC,8-24,-9.1,-7.8,-16.9,--
349,Presbyterian College,Big South,5-25,-9.8,-7.3,-17.1,--
350,North Carolina A&T,MEAC,3-29,-7.4,-10.2,-17.5,--
351,Alabama A&M,SWAC,2-27,-8.5,-10.5,-19.1,--
