rpi
178	W Michigan (15-16)	0.498	36	316	178
179	Texas State (18-13)	0.497	7	328	179
180	Utah State (13-17)	0.496	46	219	180
181	Loyola-Chi (16-14)	0.495	102	240	181
182	Coastal Car (14-17)	0.495	139	348	182
183	Fairfield (16-14)	0.495	8	212	183
184	Gard-Webb (16-14)	0.495	18	282	187
185	Boston U (17-14)	0.495	18	280	184
186	UMKC (14-16)	0.494	19	282	185
187	Weber State (17-13)	0.494	99	343	186
188	Lipscomb (17-13)	0.493	149	348	189
189	Evansville (14-17)	0.492	84	248	188
190	Wofford (13-17)	0.492	162	335	190
191	San Jose St (12-16)	0.490	127	326	191
192	Mercer (13-17)	0.490	64	312	192
193	U Mass (15-18)	0.490	4	194	193
194	LSU (10-21)	0.490	51	345	194
195	Sam Hous St (17-13)	0.490	59	322	195
196	Hofstra (14-17)	0.487	45	350	196
197	U Penn (13-15)	0.486	95	293	197
198	UAB (16-16)	0.485	88	275	198
199	Rider (18-15)	0.485	149	324	199
200	St Josephs (11-20)	0.484	5	264	201
201	Morehead St (12-16)	0.484	105	316	200
202	NC Central (22-8)	0.483	57	329	202
203	Ste F Austin (15-14)	0.483	40	314	203
204	San Diego (12-18)	0.481	98	317	204
205	Utah Val St (12-16)	0.481	19	316	205
206	Navy (15-16)	0.481	44	281	206
207	Idaho (16-13)	0.480	67	328	207
208	Holy Cross (15-17)	0.480	20	263	208
209	Missouri St (16-16)	0.480	67	229	209
210	Washington (9-22)	0.479	30	253	210
211	Denver (16-14)	0.479	137	335	211
212	E Carolina (15-18)	0.478	35	261	212
213	Lg Beach St (13-19)	0.476	52	283	213
214	Fordham (12-19)	0.475	51	306	214
215	Loyola-MD (14-16)	0.475	69	335	215
216	Central Mich (14-16)	0.473	23	320	216
217	N Florida (11-19)	0.473	68	348	217
218	IUPUI (12-18)	0.473	158	314	218
219	Boston Col (9-23)	0.472	125	332	219
220	Bradley (12-20)	0.471	140	349	220
221	Montana (16-16)	0.471	156	336	221
222	Pacific (10-22)	0.470	68	299	223
223	LIU-Brooklyn (19-12)	0.470	48	307	222
224	TX El Paso (14-17)	0.470	202	350	224
225	W Kentucky (15-17)	0.467	89	313	226
226	Bowling Grn (12-19)	0.467	70	317	225
227	Radford (12-18)	0.466	109	328	227
228	Alcorn State (15-14)	0.464	203	341	228
229	SC Upstate (13-15)	0.463	60	328	229
230	Lamar (15-14)	0.463	85	343	232
231	S Alabama (12-18)	0.463	26	238	231
232	Murray St (14-17)	0.462	129	288	230
233	High Point (12-16)	0.460	27	271	236
234	Portland (9-22)	0.460	106	253	233
235	Indiana St (10-20)	0.460	19	251	234
236	Delaware (11-20)	0.459	86	311	235
237	DePaul (9-23)	0.458	63	321	237
238	Rob Morris (14-19)	0.457	171	343	238
239	Saint Louis (12-21)	0.457	54	319	239
240	N Illinois (12-17)	0.456	29	323	240
241	Campbell (14-17)	0.455	239	351	244
242	UNLV (11-21)	0.455	123	282	241
243	Charlotte (12-17)	0.455	1	247	243
244	Norfolk St (15-17)	0.454	222	328	242
245	AR Lit Rock (13-17)	0.454	46	337	245
246	Wagner (15-14)	0.454	27	301	246
247	Pepperdine (8-22)	0.453	82	295	247
248	Nicholls St (10-17)	0.452	6	334	248
249	Cleveland St (8-22)	0.451	58	288	250
250	E Kentucky (10-19)	0.451	71	315	249
251	SE Louisiana (14-16)	0.451	188	334	251
252	IL-Chicago (13-18)	0.451	60	331	252
253	Air Force (10-21)	0.450	49	293	253
254	Youngs St (11-21)	0.450	69	325	254
255	Montana St (14-16)	0.449	160	333	255
256	Missouri (8-24)	0.448	80	279	256
257	James Mad (9-23)	0.448	80	344	257
258	St Fran (PA) (15-16)	0.448	135	334	258
259	WI-Milwkee (10-24)	0.446	123	319	259
260	Kennesaw St (12-18)	0.446	85	343	260
261	Austin Peay (9-19)	0.445	56	298	261
262	Columbia (10-16)	0.445	75	309	262
263	Manhattan (10-22)	0.444	153	326	263
264	TX-San Ant (12-19)	0.443	26	349	264
265	E Illinois (12-15)	0.443	139	327	265
266	Duquesne (10-22)	0.441	148	313	266
267	Army (12-19)	0.440	212	316	267
268	Portland St (12-16)	0.439	115	350	268
269	CS Fullerton (15-14)	0.439	126	344	269
270	Cornell (7-21)	0.439	55	315	270
271	W Carolina (7-23)	0.438	82	272	271
272	Quinnipiac (10-21)	0.438	192	348	272
273	F Dickinson (10-19)	0.436	143	327	273
274	SE Missouri (13-18)	0.436	147	339	274
275	Marist (8-24)	0.435	43	344	275
276	TN Tech (10-20)	0.435	151	348	276
277	Hampton (12-16)	0.434	209	343	277
278	Seattle (10-17)	0.434	98	320	280
279	Maryland ES (12-20)	0.434	74	345	278
280	Oregon St (4-27)	0.434	6	346	281
281	Savannah St (11-16)	0.434	54	344	279
282	Fla Atlantic (8-20)	0.433	8	335	282
283	Citadel (9-21)	0.433	32	325	284
284	Niagara (10-23)	0.433	29	337	283
285	Brown (11-17)	0.433	20	317	285
286	Bryant (11-20)	0.432	59	338	286
287	N Colorado (9-18)	0.431	115	342	287
288	Detroit (7-23)	0.431	58	331	288
289	Abilene Christian (9-16)	0.431	195	347	289
290	NJIT (9-20)	0.430	103	301	290
291	Jacksonville (13-15)	0.430	36	311	291
292	Oral Roberts (6-22)	0.430	40	299	292
293	Colgate (9-22)	0.429	46	341	293
294	Tulane (6-25)	0.428	87	340	294
295	Charl South (9-19)	0.428	65	351	299
296	Cal Poly (9-20)	0.428	124	332	295
297	LA Monroe (7-24)	0.428	125	351	296
298	Sac State (11-18)	0.427	106	346	297
299	Hawaii (13-16)	0.427	2	325	298
300	App State (7-21)	0.427	144	328	300
301	Miami (OH) (9-21)	0.426	127	322	301
302	Incarnate Word (8-17)	0.426	139	347	303
303	Sacred Hrt (13-19)	0.426	13	318	304
304	Dartmouth (7-20)	0.426	21	348	305
305	NW State (9-16)	0.425	53	344	306
306	S Car State (9-20)	0.425	62	306	302
307	Prairie View (11-20)	0.425	5	343	307
308	Drexel (8-23)	0.424	107	312	308
309	Massachusetts Lowell (10-20)	0.424	17	327	309
310	American (8-22)	0.423	18	346	310
311	Central Ark (8-24)	0.423	182	342	311
312	Binghamton (9-20)	0.422	25	329	312
313	Cal St Nrdge (10-18)	0.420	16	339	313
314	Drake (6-23)	0.419	46	349	314
315	McNeese St (5-21)	0.419	139	349	315
316	S Florida (7-23)	0.416	196	339	316
317	Chicago St (3-26)	0.415	139	351	317
318	TX-Pan Am (7-22)	0.415	172	348	319
319	Grambling St (13-17)	0.415	111	350	318
320	Southern (13-17)	0.414	96	322	320
321	Lafayette (8-21)	0.414	29	328	321
322	Maine (6-25)	0.412	71	328	322
323	Jackson St (12-17)	0.412	202	327	323
324	UCSB (5-22)	0.411	72	329	324
325	W Illinois (6-20)	0.409	81	350	325
326	Morgan St (13-16)	0.407	248	346	326
327	Stetson (8-21)	0.406	189	337	327
328	Hartford (9-23)	0.405	51	349	328
329	VA Military (4-24)	0.403	185	349	329
330	UC Riverside (6-21)	0.399	176	342	330
331	S Mississippi (7-22)	0.396	199	350	331
332	Delaware St (8-22)	0.395	71	350	332
333	SIU Edward (5-23)	0.394	1	334	333
334	Miss Val St (7-25)	0.394	75	345	334
335	N Arizona (8-23)	0.392	3	349	335
336	Coppin State (7-23)	0.390	52	351	336
337	Florida Intl (5-24)	0.387	176	347	337
338	Howard (8-24)	0.387	22	345	338
339	North Texas (6-22)	0.386	226	339	339
340	Idaho State (4-26)	0.379	86	340	340
341	S Utah (4-27)	0.378	53	349	341
342	Alabama St (7-23)	0.373	145	348	342
343	Longwood (4-24)	0.373	56	351	343
344	Central Conn (6-23)	0.365	115	350	344
345	Ark Pine Bl (6-24)	0.365	88	349	345
346	Presbyterian (3-25)	0.365	20	347	346
347	Beth-Cook (8-22)	0.362	32	350	347
348	St Fran (NY) (3-27)	0.345	108	348	348
349	Florida A&M (5-23)	0.334	179	350	349
350	NC A&T (1-29)	0.316	131	351	350
351	Alab A&M (2-27)	0.315	314	351	351
